Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_RBF_0.0001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5071008814887366;0.51775;0.512370113805047;0.5268516666666667;0.5103105590062111;0.15892362594604492
SVDD_RBF_0.0005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.45713455390874747;0.39325;0.4227926353984679;0.4584346913580247;0.46645962732919255;0.17430782318115234
SVDD_RBF_0.001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5553917050691244;0.75325;0.6393633952254641;0.5788791975308643;0.5777639751552796;0.16817235946655273
SVDD_RBF_0.005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5541141586360266;0.7475;0.6364410387398892;0.5739848765432098;0.5756521739130435;0.1837923526763916
SVDD_RBF_0.01_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5623055809698079;0.76825;0.6493396724775489;0.5858654320987655;0.5877018633540373;0.08662629127502441
SVDD_RBF_0.05_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5611050128064398;0.76675;0.6480033805197548;0.5829843827160494;0.5860869565217391;0.09871602058410645
SVDD_RBF_0.1_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5696275071633238;0.7455;0.6458040064970223;0.6308697530864198;0.5936645962732919;0.08893299102783203
SVDD_RBF_0.2_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5788825990647305;0.588;0.5834056802678904;0.6277411728395061;0.5827329192546584;0.15581798553466797
SVDD_RBF_0.3_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.579271558650241;0.54075;0.5593483320403412;0.6244532098765432;0.5766459627329192;0.17270970344543457
SVDD_RBF_0.4_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6027027027027027;0.50175;0.547612551159618;0.6374063580246914;0.5880745341614907;0.26229238510131836
SVDD_RBF_0.5_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.634193299961494;0.41175;0.49931787175989084;0.6538405555555555;0.5896894409937888;0.19882774353027344
SVDD_RBF_0.6_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.654625550660793;0.3715;0.47400318979266354;0.6671780246913581;0.5903105590062112;0.35615110397338867
SVDD_RBF_0.7_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.7252678008821676;0.28775;0.4120279219616968;0.6841637037037037;0.5919254658385094;0.3755226135253906
SVDD_RBF_0.8_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.8043243243243243;0.186;0.3021319796954315;0.6879682716049383;0.5730434782608695;0.3962416648864746
SVDD_RBF_0.9_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.8181818181818182;0.0585;0.10919272048530099;0.6880992592592592;0.5257142857142857;0.7660560607910156
SVDD_RBF_0.0001_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.47513089005235604;0.1815;0.2626628075253256;0.5375469753086419;0.4936645962732919;0.2032177448272705
SVDD_RBF_0.0005_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.576725025746653;0.56;0.5682394723490614;0.618961049382716;0.5771428571428572;0.11843419075012207
SVDD_RBF_0.001_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5821505893673322;0.605;0.593355400269707;0.6241601851851852;0.5879503105590063;0.09884214401245117
SVDD_RBF_0.005_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5978848413631023;0.636;0.6163537250151424;0.6373621604938271;0.606583850931677;0.3875610828399658
SVDD_RBF_0.01_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5977390485162506;0.6345;0.6155711860295902;0.6397292592592592;0.6062111801242236;0.30005478858947754
SVDD_RBF_0.05_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5969064916803375;0.63675;0.6161848312568041;0.638694938271605;0.6058385093167702;0.17127108573913574
SVDD_RBF_0.1_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.596812001875293;0.6365;0.6160174207597388;0.638942037037037;0.6057142857142858;0.4749259948730469
SVDD_RBF_0.2_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6035831440827656;0.598;0.6007786010297627;0.636273024691358;0.6050931677018634;0.4544973373413086
SVDD_RBF_0.3_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6133937237140085;0.474;0.5347623748413483;0.6415642592592592;0.5901863354037267;0.2596395015716553
SVDD_RBF_0.4_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6145552560646901;0.399;0.48385629831741706;0.6395929629629631;0.5770186335403726;0.48194098472595215
SVDD_RBF_0.5_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6334821428571429;0.35475;0.4548076923076923;0.6383066049382715;0.577391304347826;0.6603837013244629
SVDD_RBF_0.6_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.6509915014164306;0.28725;0.3986123156981787;0.6520159259259258;0.5693167701863354;0.4545772075653076
SVDD_RBF_0.7_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.7017828200972447;0.2165;0.33091325945739397;0.6726621604938272;0.5649689440993789;0.8643991947174072
SVDD_RBF_0.8_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.7160751565762005;0.1715;0.2767244856797096;0.6765656172839506;0.5545341614906832;0.6230454444885254
SVDD_RBF_0.9_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.7255639097744361;0.14475;0.24135056273447267;0.6779622222222222;0.5478260869565217;0.858414888381958
SVDD_linear_0.0001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.09920763969421387
SVDD_linear_0.0005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.043692827224731445
SVDD_linear_0.001_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.10567831993103027
SVDD_linear_0.005_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.17064619064331055
SVDD_linear_0.01_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.14594316482543945
SVDD_linear_0.05_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5053922890266919;0.93725;0.6566824312489052;0.49679703703703704;0.5130434782608696;0.21552824974060059
SVDD_linear_0.1_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5425459496255957;0.797;0.6456055083029567;0.5469690123456791;0.5652173913043478;0.18955492973327637
SVDD_linear_0.2_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5442811043384725;0.759;0.6339528085195238;0.5450348148148149;0.564472049689441;0.18193483352661133
SVDD_linear_0.3_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5543710021321961;0.715;0.6245223277650398;0.5728455555555555;0.5727950310559006;0.21056675910949707
SVDD_linear_0.4_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5798558007428447;0.6635;0.6188644048035444;0.6025241358024691;0.5939130434782609;0.1555156707763672
SVDD_linear_0.5_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5911843061273916;0.61025;0.6005658752614097;0.6156712345679012;0.5966459627329193;0.13436245918273926
SVDD_linear_0.6_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.5984591679506934;0.4855;0.5360938578329882;0.6180257407407408;0.5824844720496895;0.11162161827087402
SVDD_linear_0.7_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6148231330713082;0.27375;0.3788271925272444;0.640927962962963;0.5539130434782609;0.3813638687133789
SVDD_linear_0.8_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6010765550239234;0.25125;0.3543723554301833;0.6394308024691358;0.5450931677018633;0.28713488578796387
SVDD_linear_0.9_scale_[3, 6, 9, 12]_5_[384, 266, 128];0.6495327102803738;0.139;0.22899505766062606;0.6505172222222223;0.5349068322981366;0.15146088600158691
SVDD_linear_0.0001_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.046541452407836914
SVDD_linear_0.0005_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.056726932525634766
SVDD_linear_0.001_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.05797004699707031
SVDD_linear_0.005_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.06495022773742676
SVDD_linear_0.01_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.4972684538178122;0.9785;0.6594221211355404;0.4947856172839506;0.4977639751552795;0.07247066497802734
SVDD_linear_0.05_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5053922890266919;0.93725;0.6566824312489052;0.49679703703703704;0.5130434782608696;0.09238934516906738
SVDD_linear_0.1_auto_[3, 6, 9, 12]_5_[384, 266, 128];0.5425459496255957;0.797;0.6456055083029567;0.5469690123456791;0.5652173913043478;0.09256505966186523
